URN,RELDENOM,EGENDER,KS2APS,TTAPSCP_PTQ_EE
100003,None,BOYS,NP,313.9
100001,None,GIRLS,NP,231.7
,,,,
137889,None,MIXED,NP,SUPP
100053,Does not apply,MIXED,27.9,324.4
100054,None,GIRLS,28.8,358.2
137333,None,MIXED,NP,SUPP
100084,None,MIXED,NP,253.6
100052,Does not apply,MIXED,26.8,319.5
100049,Does not apply,MIXED,26.4,302.4
100059,Roman Catholic,GIRLS,29.2,372
100055,Roman Catholic,MIXED,27.5,329.4
100074,None,MIXED,NP,393.2
100050,Does not apply,GIRLS,27.9,349.7
100051,Does not apply,MIXED,26.3,293.6
100062,None,GIRLS,NP,389.4
100076,None,GIRLS,NP,258
137181,Does not apply,MIXED,,
100065,None,BOYS,NP,259.6
100056,None,BOYS,27.5,310.5
100092,Does not apply,MIXED,20.6,75.7
100096,Does not apply,MIXED,10.5,2
,,,27.2,321
134827,None,MIXED,NP,76
100756,None,GIRLS,NP,378.2
100202,None,MIXED,NP,355.2
137473,Does not apply,MIXED,26,284.8
100182,Does not apply,GIRLS,27.1,330.9
140226,None,MIXED,NP,70.5
138245,None,MIXED,,
138449,None,MIXED,26.7,338.1
100192,None,MIXED,27,311
100183,Does not apply,GIRLS,27.5,315.7
141315,None,MIXED,NP,SUPP
134402,None,MIXED,NP,1
100200,None,MIXED,NP,49.1
105135,Roman Catholic,MIXED,27.9,322.6
100196,Roman Catholic,MIXED,28.2,369.5
100193,Roman Catholic,GIRLS,28.5,366.7
132777,None,MIXED,NP,44.5
141309,Does not apply,MIXED,27,322.6
100190,Does not apply,MIXED,27.5,312.8
139786,None,MIXED,26.6,250.2
141163,Does not apply,BOYS,27,332
138547,Does not apply,MIXED,7.6,19.5
100204,Does not apply,BOYS,SUPP,SUPP
136092,None,MIXED,NP,57.1
,,,27,316.2
102171,None,GIRLS,NP,265.3
100295,None,GIRLS,NP,241.4
100293,Jewish,MIXED,NP,189.9
131342,None,GIRLS,NP,133.7
131609,Does not apply,MIXED,27,310.2
100285,Roman Catholic,MIXED,25.9,301.1
135379,None,MIXED,NP,SUPP
135835,Does not apply,MIXED,26.3,360.4
137442,Does not apply,GIRLS,26.9,327.4
139595,None,MIXED,,
138265,None,MIXED,26.4,239.8
100277,Does not apply,MIXED,26.7,313.5
138143,Jewish,GIRLS,27.4,289.6
134693,Does not apply,MIXED,27.5,358.4
140210,None,MIXED,,
100282,Roman Catholic,GIRLS,27.1,334.6
131062,Does not apply,MIXED,26.1,315.3
136137,Does not apply,MIXED,27.6,312.8
100279,Does not apply,MIXED,27.4,337.8
132736,None,BOYS,NP,346.5
100300,None,GIRLS,NP,381.8
100284,Church of England,MIXED,25.9,311.6
100287,None,MIXED,NP,SUPP
133599,Jewish,GIRLS,29,359
100311,Does not apply,MIXED,5.3,NE
100312,Does not apply,MIXED,3,NE
137808,None,MIXED,NP,11
100307,Does not apply,MIXED,15.7,95.8
,,,26.6,319.5
131752,Church of England,MIXED,27.1,344.7
134735,None,MIXED,NP,225.9
141135,Christian,BOYS,,
139364,Does not apply,MIXED,27.3,299
139365,Does not apply,GIRLS,27.9,364.1
100369,None,GIRLS,NP,173.8
136172,Does not apply,MIXED,,
141617,Does not apply,MIXED,,
100361,Does not apply,MIXED,26.7,306.3
138607,Church of England,GIRLS,29.6,344.3
100370,None,MIXED,NP,181.5
137157,Roman Catholic,BOYS,30.8,391.4
100359,None,MIXED,26.5,277.7
137935,Roman Catholic,GIRLS,30.1,394.9
100527,None,GIRLS,NP,300.5
100366,Church of England,GIRLS,NP,264.5
136750,None,MIXED,,
135729,None,MIXED,NP,324.7
100382,Does not apply,MIXED,12.2,14.9
100381,Does not apply,MIXED,SUPP,SUPP
131675,None,MIXED,NP,215
135175,Does not apply,MIXED,NP,SUPP
100378,Does not apply,MIXED,5.7,NE
100379,Does not apply,MIXED,18.8,94.2
,,,27.7,330.1
131690,None,MIXED,25.7,297.5
100458,None,BOYS,28,346.8
135587,Does not apply,MIXED,25.6,323.9
100457,Does not apply,GIRLS,27.3,340.7
100455,Does not apply,GIRLS,26.7,336.5
100452,Does not apply,MIXED,26.3,290.1
100453,Does not apply,MIXED,26.2,297.7
100461,None,MIXED,NP,336.2
100460,Roman Catholic,GIRLS,26.5,328.3
100459,Roman Catholic,BOYS,28.1,342.5
134314,Church of England,MIXED,27.4,323.4
141605,None,MIXED,,
134030,Does not apply,MIXED,5,NE
100467,Does not apply,MIXED,SUPP,SUPP
100469,Does not apply,MIXED,13.1,10.7
,,,26.6,317.8
100537,None,MIXED,NP,361.1
100506,Roman Catholic,BOYS,30.1,367.2
135531,Church of England,MIXED,28.1,336.7
100539,None,MIXED,NP,134
100544,None,MIXED,NP,71
100526,None,MIXED,NP,84.9
140134,Does not apply,MIXED,29,363.2
140212,None,MIXED,,
100547,None,MIXED,NP,339.3
100540,None,MIXED,NP,122
100521,Roman Catholic,GIRLS,NP,314.5
100511,None,GIRLS,NP,278.1
100502,Roman Catholic,MIXED,27.7,332.1
100503,Roman Catholic,GIRLS,27,289.2
131778,Christian,MIXED,NP,SUPP
140192,None,MIXED,NP,143.7
140603,None,MIXED,NP,SUPP
100548,Does not apply,MIXED,10.7,NE
135616,None,MIXED,NP,SUPP
,,,28.3,337.6
100640,Church of England,MIXED,27.2,301.9
135389,Does not apply,MIXED,26.4,296.1
100638,Roman Catholic,MIXED,28,356.7
137954,Does not apply,MIXED,,
100529,None,MIXED,NP,195.8
137093,None,MIXED,28.4,339.9
136288,None,MIXED,,
129649,None,MIXED,27.6,314.2
100637,Roman Catholic,GIRLS,28.4,367.8
134815,Christian,MIXED,27.2,319
100625,Does not apply,MIXED,25.4,305.6
100642,None,BOYS,28.7,324.2
100624,Does not apply,MIXED,25.2,302.5
139659,None,MIXED,,
136450,None,MIXED,26.3,325.4
100627,Church of England,MIXED,25.8,325.4
137966,Church of England,GIRLS,28.1,324.6
100648,None,GIRLS,NP,395.7
140966,None,MIXED,,
100659,Does not apply,MIXED,16.2,66.5
100654,Does not apply,MIXED,12.2,35.7
133442,Does not apply,MIXED,4,NE
100643,Does not apply,MIXED,6.3,NE
,,,26.8,316.6
100748,None,MIXED,27.7,268
100752,Roman Catholic,MIXED,28,336.1
100742,Does not apply,MIXED,26.1,273.3
100740,Does not apply,MIXED,25.4,289.4
100745,Does not apply,BOYS,27.8,309.4
135073,Does not apply,MIXED,28.3,332.6
135070,Does not apply,MIXED,27.7,320.7
141018,None,MIXED,NP,SUPP
135901,None,BOYS,NP,180.4
100747,Does not apply,MIXED,26.9,290.3
100750,None,GIRLS,28.8,363
135843,None,MIXED,,
100754,Church of England,MIXED,NP,375.5
135264,Roman Catholic,MIXED,26.1,291
100743,Does not apply,MIXED,27,298
100757,None,GIRLS,NP,369.8
100741,Does not apply,GIRLS,27.6,332.2
100749,Church of England,MIXED,25.8,302.1
100760,Does not apply,MIXED,17,41.5
136423,Does not apply,MIXED,10.9,NE
100765,Does not apply,MIXED,3,NE
,,,27,304
100864,None,MIXED,NP,274.3
139718,Church of England,MIXED,,
135584,Does not apply,MIXED,26,287.5
135315,Does not apply,MIXED,26.4,304.6
135401,Does not apply,MIXED,27.4,318.9
136298,None,MIXED,28.9,363.3
134222,Does not apply,MIXED,28,342.7
139587,None,MIXED,,
100861,None,MIXED,NP,226.6
131747,Does not apply,GIRLS,26.6,307.8
134225,Does not apply,MIXED,25,296.7
135816,Does not apply,BOYS,26.7,331.2
132711,Does not apply,GIRLS,26.8,362.1
100863,None,GIRLS,NP,298.5
136309,None,MIXED,29.6,372.4
100859,Roman Catholic,GIRLS,26.8,332
138960,Roman Catholic,MIXED,26.9,347.7
138961,Roman Catholic,MIXED,28.5,357.9
100849,Church of England,GIRLS,28.9,348.8
100857,Roman Catholic,BOYS,26.1,340.5
140221,None,MIXED,,
131237,None,MIXED,NP,56.6
100872,Does not apply,MIXED,9.5,11.3
140138,Does not apply,BOYS,20.5,85.7
100873,Does not apply,MIXED,14.1,14.7
141031,None,MIXED,NP,SUPP
100880,Does not apply,MIXED,SUPP,NE
,,,27.3,329.7
137789,Does not apply,MIXED,27,336.4
133289,Roman Catholic,BOYS,28.1,319.6
100978,Roman Catholic,GIRLS,28.3,323.8
100965,Does not apply,MIXED,26.4,324.7
100975,None,GIRLS,27.4,356.1
139601,None,MIXED,NP,88.9
131745,None,MIXED,NP,341.1
136129,Unknown,BOYS,NP,278
100974,None,MIXED,27.1,315
131388,None,BOYS,NP,388.5
100966,Does not apply,MIXED,26.8,298
134810,None,BOYS,NP,386
141133,None,MIXED,,
132797,None,BOYS,NP,369.1
100982,None,GIRLS,NP,331.1
133307,None,BOYS,NP,327.6
100967,Does not apply,MIXED,27.4,329.4
100968,Does not apply,GIRLS,27.5,352.5
100972,Does not apply,MIXED,27.1,344.1
100979,Church of England,MIXED,28.2,297.3
100970,None,MIXED,25.7,324
100977,Church of England,MIXED,28,345.9
100969,Does not apply,BOYS,27.8,320.3
100973,Does not apply,MIXED,27.1,340
138202,None,MIXED,,
100989,Does not apply,MIXED,3,NE
100986,Does not apply,BOYS,SUPP,59
131598,Does not apply,MIXED,SUPP,SUPP
100987,Does not apply,MIXED,6.3,NE
,,,27.2,326.2
101090,None,MIXED,NP,360.8
138681,None,MIXED,26.3,324.1
135316,Does not apply,MIXED,28.3,335.1
138267,None,MIXED,,
139842,None,GIRLS,27.7,341.7
136883,None,MIXED,28.3,345.7
101071,Christian,MIXED,NP,313.8
101053,Does not apply,BOYS,27.2,298.4
137005,None,MIXED,30,364.5
101086,None,MIXED,NP,381.9
140985,Does not apply,MIXED,25.8,347.4
101064,None,MIXED,NP,217.9
101072,None,GIRLS,NP,439
132173,Church of England,MIXED,28.5,335.8
135762,Roman Catholic,MIXED,26.1,309.4
138682,None,MIXED,26.4,284.4
132237,Christian,MIXED,NP,311.4
101095,Does not apply,MIXED,3.5,NE
101175,None,MIXED,NP,82
101103,Does not apply,MIXED,13.9,24.5
101093,Does not apply,MIXED,5.7,NE
131594,Does not apply,BOYS,20.1,61.2
101094,Does not apply,MIXED,15.3,30.1
101102,Does not apply,MIXED,3.9,NE
136110,None,MIXED,NP,85.1
,,,27.1,315.4
135242,Does not apply,MIXED,27.1,382.4
101181,None,MIXED,NP,231.3
101161,Church of England,GIRLS,NP,135.2
101158,Church of England,GIRLS,NP,430
138313,Church of England,GIRLS,30.1,384.9
100536,None,MIXED,NP,252.1
140884,None,BOYS,,
130912,Christian,MIXED,26,335
135676,Does not apply,MIXED,26.7,331.1
100541,None,MIXED,NP,325.5
101157,None,GIRLS,NP,359.1
137646,None,MIXED,27.3,301.9
101154,Church of England,MIXED,26.6,333.7
139369,Roman Catholic,MIXED,27.3,328.3
