"reldenom","egender","ks2aps","region","instype","totpups","ofstedgrade"
"Non-religious","Mixed",27.9,"London","Community",1044,"Requires Improvement"
"Religious","Single-sex",28.8,"London","Voluntary",1012,"Outstanding"
"Non-religious","Mixed",26.8,"London","Community",1242,"Good"
"Non-religious","Mixed",26.4,"London","Community",1237,"Good"
"Religious","Single-sex",29.2,"London","Voluntary",1155,"Good"
"Religious","Mixed",27.5,"London","Voluntary",605,"Good"
"Non-religious","Single-sex",27.9,"London","Community",1168,"Good"
"Non-religious","Mixed",26.3,"London","Community",800,"Good"
"Non-religious","Mixed",NA,"London","Academy",697,"Requires Improvement"
"Religious","Single-sex",27.5,"London","Voluntary",835,"Good"
"Non-religious","Mixed",20.6,"London","Community",30,"Good"
"Non-religious","Mixed",10.5,"London","Community",229,"Outstanding"
"Non-religious","Mixed",26,"London","Academy",1070,"Requires Improvement"
"Non-religious","Single-sex",27.1,"London","Community",889,"Outstanding"
"Religious","Mixed",NA,"London","Academy",294,"Requires Improvement"
"Religious","Mixed",26.7,"London","Academy",988,"Outstanding"
"Religious","Mixed",27,"London","Voluntary",1242,"Good"
"Non-religious","Single-sex",27.5,"London","Community",1411,"Good"
"Religious","Mixed",27.9,"London","Academy",1177,"Good"
"Religious","Single-sex",28.5,"London","Voluntary",609,"Outstanding"
"Non-religious","Mixed",27,"London","Academy",1587,"Good"
"Non-religious","Mixed",27.5,"London","Community",1770,"Good"
"Non-religious","Single-sex",27,"London","Academy",1431,"Outstanding"
"Non-religious","Mixed",7.6,"London","Academy",209,"Good"
"Non-religious","Single-sex",NA,"London","Community",36,"Requires Improvement"
"Non-religious","Mixed",27,"London","Academy",1076,"Good"
"Religious","Mixed",25.9,"London","Voluntary",1043,"Good"
"Non-religious","Mixed",26.3,"London","Academy",977,"Outstanding"
"Non-religious","Single-sex",26.9,"London","Academy",1130,"Outstanding"
"Religious","Mixed",NA,"London","Academy",194,"Good"
"Religious","Mixed",26.4,"London","Other",45,"Requires Improvement"
"Non-religious","Mixed",26.7,"London","Community",1009,"Good"
"Religious","Single-sex",27.4,"London","Voluntary",111,"Requires Improvement"
"Non-religious","Mixed",27.5,"London","Academy",1297,"Outstanding"
"Religious","Single-sex",27.1,"London","Voluntary",711,"Good"
"Non-religious","Mixed",26.1,"London","Academy",1187,"Good"
"Non-religious","Mixed",27.6,"London","Academy",880,"Good"
"Non-religious","Mixed",27.4,"London","Community",1542,"Good"
"Religious","Mixed",25.9,"London","Voluntary",811,"Good"
"Religious","Single-sex",29,"London","Voluntary",334,"Good"
"Non-religious","Mixed",5.3,"London","Community",116,"Outstanding"
"Non-religious","Mixed",3,"London","Community",67,"Good"
"Non-religious","Mixed",15.7,"London","Community",109,"Outstanding"
"Religious","Mixed",27.1,"London","Academy",1095,"Outstanding"
"Non-religious","Mixed",27.3,"London","Academy",396,"Good"
"Non-religious","Single-sex",27.9,"London","Academy",629,"Outstanding"
"Non-religious","Mixed",NA,"London","Academy",696,"Good"
"Religious","Single-sex",29.6,"London","Academy",717,"Outstanding"
"Religious","Single-sex",30.8,"London","Academy",1340,"Outstanding"
"Religious","Mixed",26.5,"London","Foundation",906,"Requires Improvement"
"Religious","Single-sex",30.1,"London","Academy",926,"Outstanding"
"Religious","Mixed",NA,"London","Academy",480,"Good"
"Non-religious","Mixed",12.2,"London","Community",64,"Good"
"Non-religious","Mixed",NA,"London","Community",65,"Outstanding"
"Non-religious","Mixed",NA,"London","Other",42,"Good"
"Non-religious","Mixed",5.7,"London","Community",162,"Outstanding"
"Non-religious","Mixed",18.8,"London","Community",90,"Good"
"Religious","Mixed",25.7,"London","Foundation",541,"Good"
"Religious","Single-sex",28,"London","Voluntary",906,"Outstanding"
"Non-religious","Mixed",25.6,"London","Academy",656,"Good"
"Non-religious","Single-sex",27.3,"London","Community",815,"Outstanding"
"Non-religious","Single-sex",26.7,"London","Community",755,"Good"
"Non-religious","Mixed",26.3,"London","Community",1179,"Outstanding"
"Non-religious","Mixed",26.2,"London","Community",801,"Good"
"Religious","Single-sex",26.5,"London","Voluntary",409,"Good"
"Religious","Single-sex",28.1,"London","Voluntary",1035,"Outstanding"
"Religious","Mixed",27.4,"London","Academy",1163,"Good"
"Non-religious","Mixed",5,"London","Community",177,"Outstanding"
"Non-religious","Mixed",NA,"London","Community",75,"Outstanding"
"Non-religious","Mixed",13.1,"London","Community",101,"Outstanding"
"Religious","Mixed",28.1,"London","Academy",1075,"Outstanding"
"Non-religious","Mixed",29,"London","Academy",1341,"Outstanding"
"Religious","Mixed",27.7,"London","Voluntary",610,"Outstanding"
"Religious","Single-sex",27,"London","Voluntary",475,"Good"
"Religious","Mixed",27.2,"London","Voluntary",493,"Good"
"Non-religious","Mixed",26.4,"London","Academy",898,"Good"
"Religious","Mixed",28,"London","Voluntary",1182,"Outstanding"
"Non-religious","Mixed",NA,"London","Academy",259,"Good"
"Religious","Mixed",28.4,"London","Academy",1326,"Outstanding"
"Religious","Mixed",NA,"London","Academy",1078,"Good"
"Religious","Mixed",27.6,"London","Voluntary",1019,"Good"
"Religious","Single-sex",28.4,"London","Voluntary",915,"Outstanding"
"Religious","Mixed",27.2,"London","Academy",1000,"Good"
"Non-religious","Mixed",25.4,"London","Community",797,"Outstanding"
"Religious","Single-sex",28.7,"London","Foundation",630,"Good"
"Non-religious","Mixed",25.2,"London","Community",849,"Good"
"Religious","Mixed",NA,"London","Academy",240,"Outstanding"
"Religious","Mixed",26.3,"London","Academy",965,"Outstanding"
"Religious","Mixed",25.8,"London","Voluntary",404,"Good"
"Religious","Single-sex",28.1,"London","Academy",832,"Good"
"Non-religious","Mixed",16.2,"London","Community",86,"Good"
"Non-religious","Mixed",12.2,"London","Community",84,"Good"
"Non-religious","Mixed",4,"London","Community",63,"Good"
"Non-religious","Mixed",6.3,"London","Foundation",116,"Good"
"Religious","Mixed",27.7,"London","Voluntary",690,"Good"
"Religious","Mixed",28,"London","Voluntary",764,"Good"
"Non-religious","Mixed",26.1,"London","Community",860,"Good"
"Non-religious","Mixed",25.4,"London","Community",820,"Requires Improvement"
"Non-religious","Single-sex",27.8,"London","Community",1387,"Good"
"Non-religious","Mixed",28.3,"London","Academy",1822,"Outstanding"
"Non-religious","Mixed",27.7,"London","Academy",1411,"Requires Improvement"
"Non-religious","Mixed",26.9,"London","Foundation",892,"Requires Improvement"
"Religious","Single-sex",28.8,"London","Voluntary",890,"Outstanding"
"Religious","Mixed",NA,"London","Foundation",738,"Good"
"Religious","Mixed",26.1,"London","Academy",1231,"Good"
"Non-religious","Mixed",27,"London","Community",1464,"Requires Improvement"
"Non-religious","Single-sex",27.6,"London","Community",1329,"Good"
"Religious","Mixed",25.8,"London","Voluntary",676,"Requires Improvement"
"Non-religious","Mixed",17,"London","Foundation",143,"Good"
"Non-religious","Mixed",10.9,"London","Community",166,"Good"
"Non-religious","Mixed",3,"London","Community",110,"Outstanding"
"Religious","Mixed",NA,"London","Academy",234,"Good"
"Non-religious","Mixed",26,"London","Academy",1267,"Good"
"Non-religious","Mixed",26.4,"London","Academy",969,"Good"
"Non-religious","Mixed",27.4,"London","Academy",1055,"Good"
"Religious","Mixed",28.9,"London","Academy",1187,"Outstanding"
"Non-religious","Mixed",28,"London","Academy",1262,"Good"
"Religious","Mixed",NA,"London","Academy",108,"Requires Improvement"
"Non-religious","Single-sex",26.6,"London","Academy",772,"Outstanding"
"Non-religious","Mixed",25,"London","Academy",792,"Good"
"Non-religious","Single-sex",26.7,"London","Academy",753,"Outstanding"
"Non-religious","Single-sex",26.8,"London","Academy",818,"Outstanding"
"Religious","Mixed",29.6,"London","Academy",1559,"Good"
"Religious","Single-sex",26.8,"London","Voluntary",608,"Outstanding"
"Religious","Mixed",26.9,"London","Academy",829,"Outstanding"
"Religious","Mixed",28.5,"London","Academy",792,"Outstanding"
"Religious","Single-sex",28.9,"London","Voluntary",786,"Outstanding"
"Religious","Single-sex",26.1,"London","Voluntary",593,"Outstanding"
"Non-religious","Mixed",9.5,"London","Community",109,"Good"
"Non-religious","Single-sex",20.5,"London","Academy",44,"Good"
"Non-religious","Mixed",14.1,"London","Community",92,"Good"
"Non-religious","Mixed",NA,"London","Community",70,"Outstanding"
"Non-religious","Mixed",27,"London","Academy",964,"Outstanding"
"Religious","Single-sex",28.1,"London","Voluntary",577,"Good"
"Religious","Single-sex",28.3,"London","Voluntary",898,"Outstanding"
"Non-religious","Mixed",26.4,"London","Community",591,"Good"
